"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"1B",93,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",22.23,60.92,0.47,0.291480611,1,0,"No",0.364904793
"1B",94,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",17.52,75.69,0.47,0.449952731,1,0,"No",0.231470472
"1B",95,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",18.25,62.52,0.47,0.306992539,1,0,"No",0.29190659
"1B",96,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",19.28,78.21,0.47,0.480412671,1,0,"No",0.246515791
"1B",97,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",17.18,66.53,0.47,0.347636147,1,0,"No",0.25822937
"1B",98,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30.15,70.66,0.52,0.392136391,1,0,"No",0.426691197
"1B",99,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",23.81,71.11,0.52,0.397146956,1,0,"No",0.334833357
"1B",100,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",29,68.72,0.52,0.370899445,1,0,"No",0.422002328
"1B",101,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.45,69.39,0.52,0.378167024,1,0,"No",0.32353365
"1B",102,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",27.97,65.73,0.52,0.339326006,1,0,"No",0.425528678
"1B",103,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.78,68.6,0.52,0.369605234,1,0,"No",0.317492711
"1B",104,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",28.83,70.73,0.52,0.392913723,1,0,"No",0.40760639
"1B",105,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",23.1,70.98,0.52,0.395696193,1,0,"No",0.325443787
"1B",106,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,69.46,0.52,0.378930392,1,0,"No",0.431903254
"1B",107,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",18.43,71.91,0.52,0.406133168,1,0,"No",0.256292588
"1B",108,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",29.55,60.22,0.52,0.284820591,1,0,"No",0.490700764
"1B",109,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",24.69,72.42,0.52,0.41191435,1,0,"No",0.34092792
"1B",110,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",29.48,68.25,0.52,0.365843373,1,0,"No",0.431941392
"1B",111,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.54,70.73,0.52,0.392913723,1,0,"No",0.304538385
"1B",112,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",29.78,62.58,0.52,0.307582058,1,0,"No",0.475870885
"1B",113,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",20.99,70.28,0.52,0.387930018,1,0,"No",0.298662493
"1C",116,"Arecaceae","Hyophorbe","verschaffeltii","Hyophorbe verschaffeltii","Palm",8.81,20.37,0.54,0.032589068,1,0,"No",0.432498773
"1C",118,"Moraceae","Ficus","religiosa","Ficus religiosa","Tree",18.08,93.58,0.44,0.687790168,1,0,"No",0.193203676
"1C",122,"Rubiaceae","Vangueria","madagascariensis","Vangueria madagascariensis","Shrub",5.04,10.44,0.66,0.008560337,1,0,"No",0.482758621
"1C",124,"Fabaceae","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",7.54,40.9,0.72,0.13138219,1,0,"No",0.184352078
"1C",127,"Fabaceae","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",19.95,27.22,0.72,0.05819238,1,0,"No",0.732916973
"1C",129,"Rubiaceae","Tocoyena","formosa","Tocoyena formosa","Shrub",5.09,21.96,0.62,0.037875167,1,0,"No",0.231785064
"1C",130,"Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","Palm",18.54,31.64,0.54,0.078625393,1,0,"No",0.58596713
"1C",137,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",8.84,28.14,0.71,0.062192508,1,0,"No",0.314143568
"1C",138,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",12.21,27.69,0.71,0.060219312,1,0,"No",0.440953413
"1C",141,"Meliaceae","Guarea",NA,NA,"Shrub",6.56,25.31,0.56,0.0503123,1,0,"No",0.259186092
"1C",142,"Rubiaceae","Morinda","panamensis","Morinda panamensis","Tree",15.83,45.84,0.54,0.165036156,1,0,"No",0.345331588
"1C",143,"Myrtaceae","Eugenia","itaguahiensis","Eugenia itaguahiensis","Tree",6.12,26.58,0.72,0.055488098,1,0,"No",0.230248307
"1C",146,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",18.9,73.85,0.47,0.428342217,1,0,"No",0.255924171
"1C",147,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",17.39,54.75,0.47,0.235428008,1,0,"No",0.317625571
