"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"6C",1623,"Apocynaceae",NA,NA,NA,"Tree",8.49,28.78,0.65,0.065053619,1,0,"No",0.294996525
"6C",1624,"Euphorbiaceae","Hura","crepitans","Hura crepitans","Tree",26.1,88.49,0.37,0.615004469,1,0,"No",0.294948582
"6D",1625,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",36,79.58,0.52,0.497390803,1,0,"No",0.452374969
"6D",1626,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",25.44,68.95,0.52,0.373386337,1,0,"No",0.368963017
"6D",1627,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",36,78.94,0.52,0.489422719,1,0,"No",0.456042564
"6D",1628,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",23.86,64.62,0.52,0.327962198,1,0,"No",0.369235531
"6D",1629,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",36.11,80.85,0.52,0.513392985,1,0,"No",0.446629561
"6D",1630,"Arecaceae","Roystonea","borinquena","Roystonea borinquena","Palm",14.38,42.97,0.52,0.145017558,1,0,"No",0.334652083
"6D",1632,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",9.34,48.38,0.52,0.18383221,1,0,"No",0.193054981
"6D",1633,"Chrysobalanaceae","Moquilea","tomentosa","Moquilea tomentosa","Tree",16.48,90.21,0.98,0.639144781,1,0,"No",0.182684846
"6D",1634,"Sapindaceae","Dimocarpus","longan","Dimocarpus longan","Tree",6.62,37.75,0.7,0.111924147,1,0,"No",0.175364238
"6D",1635,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",10.89,32.63,0.65,0.08362267,1,0,"No",0.333741955
"6D",1636,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",9.36,17.35,0.65,0.023642252,1,0,"No",0.539481268
"6D",1637,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.66,25.78,0.65,0.052198222,1,0,"No",0.452288596
"6D",1638,"Sapindaceae","Dimocarpus","longan","Dimocarpus longan","Tree",4.4,41.44,0.7,0.134874353,1,0,"No",0.106177606
"6D",1639,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",12.12,41.06,0.33,0.13241213,1,0,"No",0.295177789
"6D",1640,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",11.39,38.99,0.33,0.119397807,1,0,"No",0.292126186
"6D",1641,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",11.16,40.27,0.33,0.127365892,1,0,"No",0.277129377
"6D",1642,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",12.31,42.02,0.33,0.138676214,1,0,"No",0.292955735
"6D",1643,"Fabaceae","Brownea","grandiceps","Brownea grandiceps","Tree",5.75,16.74037634,1.21,0.022010014,2,1,"Yes",0.343480928
"6D",1645,"Arecaceae","Dypsis","lutescens","Dypsis lutescens","Palm",6.78,29.52196979,0.54,0.068451118,7,1,"Yes",0.229659472
"6D",1647,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",14.85,48.38,0.47,0.18383221,1,0,"No",0.306945019
"6D",1648,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",18.64,93.77,0.47,0.69058591,1,0,"No",0.198784259
"6D",1649,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.61,41.54,0.47,0.135526077,1,0,"No",0.423928743
"6D",1650,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.27,60.48,0.47,0.287285328,1,0,"No",0.318617725
"6D",1651,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",12.09,50.99,0.47,0.20420196,1,0,"No",0.237105315
"6D",1652,"Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Tree",5.91,32.63,0.48,0.08362267,1,0,"No",0.181121667
"6D",1656,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",4.75,10.6,0.29,0.008824734,1,0,"No",0.448113208
"6D",1658,"Rutaceae","Citrus",NA,NA,"Tree",7.05,28.93601562,0.74,0.065760838,2,1,"Yes",0.243641008
"6D",1660,"Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Tree",8.01,22.7,0.48,0.040470782,1,0,"No",0.352863436
"6D",1662,"Pinaceae",NA,NA,NA,"Tree",16.7,49.34,0.52,0.191200125,1,0,"No",0.338467775
"6D",1663,"Cupressaceae",NA,NA,NA,"Tree",13.54,60.92,0.41,0.291480611,1,0,"No",0.2222587
"6D",1664,"Fabaceae","Dalbergia","assamica","Dalbergia assamica","Tree",16.09,46.3945708,0.79,0.169053515,3,1,"Yes",0.346807821
"6D",1666,"Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Tree",12.85,54.81,0.45,0.235944298,1,0,"No",0.234446269
"6D",1667,"Fabaceae","Brownea","grandiceps","Brownea grandiceps","Tree",6.67,22.95135072,1.21,0.041371987,2,1,"Yes",0.290614704
"6D",1669,"Fabaceae","Brownea","grandiceps","Brownea grandiceps","Tree",7.39,47.31757813,1.21,0.175846973,7,1,"Yes",0.156178746
"6D",1670,"Pinaceae","Pinus",NA,NA,"Tree",16.64,39.47,0.44,0.12235568,1,0,"No",0.421586015
"6D",1671,"Pinaceae",NA,NA,NA,"Tree",18.16,40.74,0.52,0.130356272,1,0,"No",0.445753559
"6D",1672,"Pinaceae",NA,NA,NA,"Tree",21.44,46.54,0.52,0.170115012,1,0,"No",0.460678986
"6D",1675,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",7.75,27.29058446,0.29,0.05849457,2,1,"Yes",0.283980726
"6D",1677,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",4.6,17.75717601,0.29,0.024764963,2,1,"Yes",0.2590502
"6D",1678,"Arecaceae","Acrocomia","aculeata","Acrocomia aculeata","Palm",19.84,24.29,0.54,0.046338814,1,0,"No",0.816797036
"6D",1679,"Pinaceae",NA,NA,NA,"Tree",18.43,36.86,0.52,0.106708875,1,0,"No",0.5
"6D",1680,"Cupressaceae",NA,NA,NA,"Tree",7.9,13.5,0.41,0.014313882,1,0,"No",0.585185185
"6D",1681,"Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Tree",7.95,29.44,0.48,0.068071527,1,0,"No",0.270040761
"6D",1682,"Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Tree",6.84,27.06,0.48,0.057510278,1,0,"No",0.252771619
"6D",1683,"Araucariaceae","Araucaria","columnaris","Araucaria columnaris","Tree",5.5,81.9,0.48,0.526814457,1,0,"No",0.067155067
"6D",1685,"Arecaceae","Phytelephas","macrocarpa","Phytelephas macrocarpa","Palm",5.03,13.53,0.54,0.014377569,1,0,"No",0.371766445
"6D",1686,"Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Tree",14.14,55.7,0.45,0.243668995,1,0,"No",0.253859964
"6D",1687,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",6.81,13.37,0.29,0.014039534,1,0,"No",0.509349289
"6D",1688,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",5.56,10.76,0.29,0.009093151,1,0,"No",0.516728625
"6D",1689,"Cupressaceae","Thuja","occidentalis","Thuja occidentalis","Shrub",7.65,16.82,0.29,0.022219888,1,0,"No",0.454815696
"6D",1691,"Cupressaceae","Thuja",NA,NA,"Tree",5.8,10.66,0.37,0.008924919,1,0,"No",0.544090056
"6D",1693,"Cupressaceae","Thuja",NA,NA,"Tree",4.6,14.83,0.37,0.017273175,1,0,"No",0.310182063
"6D",1694,"Pinaceae","Pinus","caribaea","Pinus caribaea","Tree",22.45,60.29,0.51,0.28548313,1,0,"No",0.372366893
"6D",1695,"Pinaceae","Pinus","caribaea","Pinus caribaea","Tree",23.81,62.71,0.51,0.308861291,1,0,"No",0.379684261
"7A",1696,"Arecaceae","Archontophoenix","alexandrae","Archontophoenix alexandrae","Palm",13.52,31.51,0.83,0.077980621,1,0,"No",0.429070136
"7A",1715,"Sapotaceae","Sideroxylon","rotundifolium","Sideroxylon rotundifolium","Tree",8.12,19.67,0.8,0.030387754,1,0,"No",0.412811388
"7A",1718,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",13.05,96.77,0.55,0.73548084,1,0,"No",0.134855844
"7A",1719,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",13.69,116.63,0.55,1.068342321,1,0,"No",0.117379748
"7A",1720,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",17.24,103.77,0.55,0.845733463,1,0,"No",0.166136648
"7A",1721,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",16.96,141.46,0.55,1.571654893,1,0,"No",0.119892549
"7B",1733,"Araliaceae","Dendropanax","arboreus","Dendropanax arboreus","Tree",6.62,52.56270636,0.4,0.216992797,3,1,"Yes",0.125944809
"7B",1734,"Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Tree",18.48,47.75,0.61,0.17907569,1,0,"No",0.387015707
"7B",1735,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",3.47,13.69,0.55,0.014719626,1,0,"No",0.253469686
"7B",1736,"Phyllanthaceae","Baccaurea","bracteata","Baccaurea bracteata","Tree",9.07,38.2,0.63,0.114608442,1,0,"No",0.237434555
"7C",1757,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",12.19,28.11,0.71,0.062059972,1,0,"No",0.433653504
"7C",1758,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",12.2,53.28,0.52,0.222955563,1,0,"No",0.228978979
"7C",1760,"Fabaceae","Dalbergia","nigra","Dalbergia nigra","Tree",12.09,25.20971638,0.68,0.049914394,3,1,"Yes",0.479576994
"7D",1762,"Meliaceae","Khaya","senegalensis","Khaya senegalensis","Tree",30.26,130.19,0.52,1.331205598,1,0,"No",0.232429526
"7D",1769,"Arecaceae","Euterpe","oleracea","Euterpe oleracea","Palm",17.19,24.67089176,0.39,0.047803487,5,1,"Yes",0.696772544
"7D",1771,"Arecaceae","Roystonea","borinquena","Roystonea borinquena","Palm",12.45,46.79,0.52,0.171947542,1,0,"No",0.266082496
"7D",1772,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",25.5,71.62,0.52,0.40286405,1,0,"No",0.356045797
"7D",1773,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,81.68,0.52,0.523987998,1,0,"No",0.367286974
"7D",1775,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",19.99,62.2,0.52,0.303857983,1,0,"No",0.321382637
"7D",1776,"Arecaceae","Roystonea","borinquena","Roystonea borinquena","Palm",15.78,40.23,0.52,0.127112994,1,0,"No",0.392244594
"7D",1779,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Tree",19.6,117.77,0.52,1.089329416,1,0,"No",0.166426085
"7D",1780,"Anacardiaceae","Mangifera","indica","Mangifera indica","Tree",19.4,157.1259078,0.55,1.939034253,3,1,"Yes",0.123467863
"7D",1781,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",15.79,68.44,0.47,0.367883139,1,0,"No",0.230713033
"7E",1800,"Arecaceae","Dictyosperma","album","Dictyosperma album","Palm",17.57,17.28,0.54,0.023451863,1,0,"No",1.016782407
"7E",1801,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",14.86,24.86,0.71,0.048539146,1,0,"No",0.597747385
"7E",1802,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",14.57,25.5,0.71,0.051070516,1,0,"No",0.571372549
"7E",1803,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",13.5,22.79,0.71,0.040792332,1,0,"No",0.592365072
"7E",1804,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",14.04,27.02,0.71,0.057340381,1,0,"No",0.5196151
"7E",1807,"Melastomataceae","Pleroma","granulosum","Pleroma granulosum","Tree",10.44,39.53,0.64,0.122727958,1,0,"No",0.264103213
"7E",1811,"Lauraceae","Aniba","firmula","Aniba firmula","Tree",12.18,34.06,0.56,0.091112753,1,0,"No",0.357604228
"7E",1814,"Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Tree",8.5,27.52758253,0.61,0.059514944,5,1,"Yes",0.308781201
"7E",1815,"Moraceae","Ficus","clusiifolia","Ficus clusiifolia","Tree",14.86,85.94,0.41,0.580070233,1,0,"No",0.172911333
"7E",1817,"Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","Palm",19.46,29.41,0.54,0.067932865,1,0,"No",0.661679701
"7E",1820,"Arecaceae","Astrocaryum","murumuru","Astrocaryum murumuru","Palm",8.66,30.66214278,0.43,0.073840544,4,1,"Yes",0.282432968
"7E",1822,"Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","Tree",19,96.45,0.74,0.730624692,1,0,"No",0.196993261
"7F",1823,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",36.75,75.57,0.52,0.448527139,1,0,"No",0.486304089
"7F",1824,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.85,67.23,0.52,0.354989987,1,0,"No",0.339878031
"7F",1826,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.77,66.84,0.52,0.350883353,1,0,"No",0.340664273
"7F",1827,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",36.8,80.02,0.52,0.502906183,1,0,"No",0.459885029
"7F",1828,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.2,66.97,0.52,0.352249576,1,0,"No",0.331491713
"7F",1829,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,82.95,0.52,0.540409111,1,0,"No",0.421940928
"7F",1830,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",18.8,67.67,0.52,0.359651797,1,0,"No",0.277818827
"7F",1831,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,82.57,0.52,0.535469145,1,0,"No",0.423882766
"7F",1833,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",15.73,60.16,0.52,0.284253314,1,0,"No",0.261469415
"7F",1834,"Arecaceae","Dypsis","lutescens","Dypsis lutescens","Palm",5.87,15.08797203,0.54,0.017879346,2,1,"Yes",0.389051623
"7F",1836,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",14.45,45.9,0.47,0.16546847,1,0,"No",0.314814815
"7F",1837,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",15.66,58.63,0.47,0.269978804,1,0,"No",0.267098755
"7F",1838,"Arecaceae","Euterpe","oleracea","Euterpe oleracea","Palm",11.47,36.96931971,0.39,0.10734277,12,1,"Yes",0.310257264
"7F",1846,"Lauraceae","Aniba","firmula","Aniba firmula","Tree",7.5,26.52,0.56,0.05523787,1,0,"No",0.28280543
"7F",1849,"Lauraceae","Litsea","glutinosa","Litsea glutinosa","Tree",6.83,15.95,0.44,0.019980726,1,0,"No",0.428213166
"7F",1850,"Arecaceae","Livistona","chinensis","Livistona chinensis","Palm",13.87,23.97,0.71,0.045125908,1,0,"No",0.578639967
"7F",1851,"Celastraceae","Monteverdia","gonoclada","Monteverdia gonoclada","Tree",11.07,65.38,0.77,0.335721932,1,0,"No",0.169317834
"7F",1853,"Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Tree",14.2,41.38,0.56,0.134484073,1,0,"No",0.343160947
"7F",1854,"Lauraceae","Cinnamomum","verum","Cinnamomum verum","Tree",6.04,32.21,0.5,0.081483811,1,0,"No",0.187519404
"7F",1855,"Arecaceae","Euterpe","oleracea","Euterpe oleracea","Palm",10.24,37.7521059,0.39,0.111936635,12,1,"Yes",0.271243147
"7F",1856,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",10.1,48.38,0.47,0.18383221,1,0,"No",0.208763952
"7F",1857,"Myrtaceae","Plinia","edulis","Plinia edulis","Tree",10.95,35.46071911,0.95,0.098760882,3,1,"Yes",0.308792384
"7F",1858,"Lauraceae","Cinnamomum","camphora","Cinnamomum camphora","Tree",12.77,44.56,0.46,0.155948157,1,0,"No",0.286579892
"7F",1859,"Lauraceae","Cinnamomum","camphora","Cinnamomum camphora","Tree",12.4,52.18404833,0.46,0.213877657,2,1,"Yes",0.237620507
"7F",1860,"Lauraceae","Cinnamomum","camphora","Cinnamomum camphora","Tree",12.04,39.92,0.46,0.125161554,1,0,"No",0.301603206
"7F",1862,"Lauraceae","Cinnamomum","camphora","Cinnamomum camphora","Tree",10.1,54.18874514,0.46,0.230625895,5,1,"Yes",0.186385567
"7F",1866,"Fabaceae","Dalbergia","nigra","Dalbergia nigra","Tree",21.82,65.58500515,0.68,0.337830608,3,1,"Yes",0.332697999
"7D",1867,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,78.11,0.52,0.479184936,1,0,"No",0.448086033
"7D",1868,"Chrysobalanaceae","Moquilea","tomentosa","Moquilea tomentosa","Tree",16.17,93.58,0.98,0.687790168,1,0,"No",0.172793332
"5E",1870,"Chrysobalanaceae","Moquilea","tomentosa","Moquilea tomentosa","Tree",18.74,98.1,0.98,0.755836562,1,0,"No",0.191029562
"8A",1874,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,79.51,0.52,0.49651616,1,0,"No",0.440196202
"8A",1875,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",24.5,64.55,0.52,0.327252049,1,0,"No",0.379550736
"8A",1876,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,48.76,0.52,0.186731366,1,0,"No",0.717801477
"8A",1877,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",35,80.47,0.52,0.508578368,1,0,"No",0.4349447
"8A",1878,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",24,65.83,0.52,0.340359276,1,0,"No",0.364575422
"8A",1879,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",15.83,64.3,0.52,0.324722085,1,0,"No",0.246189736
"8A",1880,"Sapotaceae","Mimusops","balata","Mimusops balata","Tree",13.62,60.16,0.83,0.284253314,1,0,"No",0.226396277
"8A",1882,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","Tree",6.13,21.39,0.89,0.035934487,1,0,"No",0.286582515
"8A",1883,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",12.01,63.23186301,0.47,0.314023274,2,1,"Yes",0.189935887
"8A",1884,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",14.5,48.7,0.47,0.186272097,1,0,"No",0.297741273
"8A",1885,"Myrtaceae","Neomitranthes","obscura","Neomitranthes obscura","Tree",7.8,40.72354233,0.76,0.130250973,4,1,"Yes",0.191535401
"8A",1886,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",15.96,60.48,0.33,0.287285328,1,0,"No",0.263888889
"8A",1887,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",16.8,55.07,0.33,0.238188086,1,0,"No",0.305066279
"8A",1888,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",16,47.43,0.33,0.176683556,1,0,"No",0.337339237
"8A",1889,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",11.64,41.7,0.33,0.136572101,1,0,"No",0.279136691
"8A",1890,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",17.18,50.93,0.33,0.203721673,1,0,"No",0.337325741
"8A",1891,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",13.25,39.41,0.33,0.121983967,1,0,"No",0.336209084
"8A",1892,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",17.71,59.21,0.33,0.275346781,1,0,"No",0.299104881
"8A",1893,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",14.44,46.98,0.33,0.173346831,1,0,"No",0.307364836
"8A",1894,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",14.23,40.43,0.33,0.128379998,1,0,"No",0.351966362
"8A",1895,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",17.42,51.63,0.33,0.209360203,1,0,"No",0.337400736
"8A",1896,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",20,55.13,0.33,0.238707391,1,0,"No",0.362778886
"8A",1897,"Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","Tree",8.58,48.73556607,0.82,0.186544269,2,1,"Yes",0.176052126
"8A",1899,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",8.23,23.33,0.65,0.04274835,1,0,"No",0.352764681
"8A",1900,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",8.55,32.53,0.65,0.083110904,1,0,"No",0.262834307
"8A",1901,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",8.28,25.4,0.65,0.050670748,1,0,"No",0.325984252
"8A",1902,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.84,32.75,0.65,0.084238862,1,0,"No",0.361526718
"8A",1903,"Sapindaceae","Dimocarpus","longan","Dimocarpus longan","Tree",8.59,40.11,0.7,0.126355807,1,0,"No",0.214161057
"8A",1907,"Rutaceae","Murraya","paniculata","Murraya paniculata","Tree",2.98,25.78706846,0.88,0.052226849,5,1,"Yes",0.115561798
"8A",1908,"Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Tree",14.1,45.2,0.48,0.160459986,1,0,"No",0.311946903
"8A",1909,"Rutaceae","Clausena","excavata","Clausena excavata","Tree",5.28,21.48223452,0.48,0.036245057,3,1,"Yes",0.245784487
"8A",1910,"Rutaceae","Casimiroa","edulis","Casimiroa edulis","Tree",6.66,23.29896564,0.7,0.042634695,2,1,"Yes",0.2858496
"8A",1912,"Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","Shrub",4.7,15.02,0.7,0.017718614,1,0,"No",0.312916112
"8A",1917,"Malvaceae","Ceiba","pentandra","Ceiba pentandra","Tree",39.63,219,0.25,3.766848131,1,0,"No",0.180958904
"8A",1918,"Fabaceae","Peltogyne","angustiflora","Peltogyne angustiflora","Tree",22.5,29.73,0.8,0.069419215,1,0,"No",0.756811302
"8A",1921,"Rutaceae","Murraya","koenigii","Murraya koenigii","Tree",10.8,39.47,0.68,0.12235568,1,0,"No",0.273625538
"8A",1922,"Rutaceae","Metrodorea","nigra","Metrodorea nigra","Tree",3.8,14.52441393,1.05,0.01656865,2,1,"Yes",0.261628457
"8A",1925,"Fabaceae","Paubrasilia","echinata","Paubrasilia echinata","Tree",8.94,15.12,0.89,0.017955333,1,0,"No",0.591269841
"8A",1926,"Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","Palm",12.82,25.91,0.54,0.052725986,1,0,"No",0.494789657
"8A",1927,"Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","Palm",18,30.43,0.54,0.072726684,1,0,"No",0.591521525
"8A",1928,"Myrtaceae","Psidium","myrtoides","Psidium myrtoides","Tree",9.13,31.25159516,0.81,0.07670687,3,1,"Yes",0.292145087
"8A",1931,"Lecythidaceae","Lecythis",NA,NA,"Tree",15.23,42.02,0.88,0.138676214,1,0,"No",0.362446454
"8B",1934,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",18.75,59.84,0.33,0.281237385,1,0,"No",0.313335561
"8B",1935,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",19.67,54.05,0.33,0.229446416,1,0,"No",0.363922294
"8B",1936,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",18.1,53.79,0.33,0.227244285,1,0,"No",0.336493772
"8B",1937,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",21.05,59.21,0.33,0.275346781,1,0,"No",0.355514271
"8B",1938,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",13.01,38.1,0.33,0.114009183,1,0,"No",0.341469816
"8B",1939,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",14.87,46.89,0.33,0.172683303,1,0,"No",0.317125187
"8B",1940,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",15.82,49.34,0.33,0.191200125,1,0,"No",0.320632347
"8B",1941,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",11.66,33.07,0.33,0.085893099,1,0,"No",0.352585425
"8B",1942,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",19.38,52.2,0.33,0.214008433,1,0,"No",0.371264368
"8B",1943,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",12.04,39.15,0.33,0.120379744,1,0,"No",0.307535121
"8B",1944,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",18.49,42.78,0.33,0.143737948,1,0,"No",0.432211314
"8B",1945,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",18.65,54.05,0.33,0.229446416,1,0,"No",0.345050879
"8B",1946,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",19.47,53.54,0.33,0.225136865,1,0,"No",0.363653343
"8B",1947,"Arecaceae","Attalea","butyracea","Attalea butyracea","Palm",18.09,46.09,0.33,0.166841197,1,0,"No",0.392492949
"8B",1948,"Myrtaceae","Eugenia","luschnathiana","Eugenia luschnathiana","Tree",5.44,11.46,0.73,0.01031476,1,0,"No",0.47469459
"8B",1949,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",14.02,62.2690244,0.47,0.30453275,2,1,"Yes",0.225152074
"8B",1950,"Cupressaceae","Cupressus","funebris","Cupressus funebris","Tree",11.82,49.2054438,0.47,0.190158695,3,1,"Yes",0.240217323
"8B",1952,"Myrtaceae","Melaleuca","leucadendra","Melaleuca leucadendra","Tree",22.35,76.9,0.63,0.464453843,1,0,"No",0.290637191
"8B",1953,"Meliaceae",NA,NA,NA,"Tree",13.17,39.09,0.59,0.120011046,1,0,"No",0.336914812
"8B",1956,"Primulaceae",NA,NA,NA,"Tree",12.48,44.88,0.7,0.158196029,1,0,"No",0.278074866
"8B",1957,"Myrtaceae","Psidium","cattleianum","Psidium cattleianum","Tree",8.61,32.94,1.12,0.085219125,1,0,"No",0.261384335
"8B",1958,"Myrtaceae","Myrciaria","tenella","Myrciaria tenella","Tree",9.63,27.42052151,0.7,0.05905291,4,1,"Yes",0.351196822
"8B",1966,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",12.18,25.5,0.65,0.051070516,1,0,"No",0.477647059
"8B",1968,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.1,24.22,0.65,0.046072116,1,0,"No",0.458298927
"8B",1969,"Myrtaceae","Syzygium","aromaticum","Syzygium aromaticum","Tree",13.25,37.75,0.65,0.111924147,1,0,"No",0.350993377
"8B",1970,"Ebenaceae","Diospyros","ebenaster","Diospyros ebenaster","Tree",10.82,48,0.68,0.180955737,1,0,"No",0.225416667
"8B",1971,"Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Tree",8.5,30.88,0.73,0.074893558,1,0,"No",0.275259067
"8B",1973,"Myrtaceae","Campomanesia","schlechtendaliana","Campomanesia schlechtendaliana","Tree",7.24,15.57,0.82,0.019040007,1,0,"No",0.464996789
"8B",1974,"Myrtaceae","Myrcia","carioca","Myrcia carioca","Tree",8.11,15.35552344,0.78,0.018519068,2,1,"Yes",0.528148717
"8B",1978,"Ebenaceae","Diospyros","ebenaster","Diospyros ebenaster","Tree",11.67,50.61,0.68,0.201169694,1,0,"No",0.230586841
"8B",1979,"Myrtaceae","Calycorectes","acutata","Calycorectes acutatus","Tree",9.24,28.42620094,0.73,0.063464012,2,1,"Yes",0.32505223
