"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","n_caule","multicaule","multicaule_l","rel_hd","area_basal"
"1D",201,"LEGUMINOSAE","Senna","hirsuta","Senna hirsuta","Shrub",10.5,19.03,0.6,1,0,"No",0.551760378349974,0.0284424797751099
"1D",202,"LEGUMINOSAE","Mora","paraensis","Mora paraensis","Tree",10.66,32.15,0.88,1,0,"No",0.331570762052877,0.0811805213146279
"1D",203,"EBENACEAE","Diospyros","tesselaria","Diospyros tesselaria","Tree",7.12,21.17,0.68,1,0,"No",0.336324988190836,0.0351991030951855
"1D",205,"LEGUMINOSAE","Plathymenia","reticulata","Plathymenia reticulata","Tree",25.76,92.63,0.52,1,0,"No",0.27809564935766,0.673896513462809
"1D",207,"LEGUMINOSAE","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",21.59,57.6886773986022,0.72,3,1,"Yes",0.374250216395551,0.261379212871701
"1D",208,"LEGUMINOSAE","Poecilanthe","parviflora","Poecilanthe parviflora","Tree",7.41,15.3947296176321,0.99,2,1,"Yes",0.481333559214516,0.0186137558309419
"1D",209,"APOCYNACEAE","Tabernaemontana","laeta","Tabernaemontana laeta","Tree",9.73,26.0720271555551,0.53,2,1,"Yes",0.373196911078196,0.0533874872808313
"1D",210,"LEGUMINOSAE","Cassia","moschata","Cassia moschata","Tree",24.99,111.811683199923,0.71,2,1,"Yes",0.223500794235581,0.981893199256579
"1D",212,"LEGUMINOSAE","Dalbergia","assamica","Dalbergia assamica","Tree",18.58,71.46,0.79,1,0,"No",0.260005597537084,0.401066053997103
"1E",214,"MALVACEAE","Sterculia","foetida","Sterculia foetida","Tree",21.19,82.44,0.51,1,0,"No",0.257035419699175,0.533784363523964
"1E",216,"ERYTHROXYLACEAE","Erythroxylum","pulchrum","Erythroxylum pulchrum","Tree",12.84,28.33,1.07,1,0,"No",0.453229791740205,0.0630351848023178
"1E",218,"LEGUMINOSAE","Piliostigma","reticulatum","Piliostigma reticulatum","Tree",6.68,12.73,0.76,1,0,"No",0.524744697564807,0.012727605003323
"1E",223,"LEGUMINOSAE","Bauhinia","purpurea","Bauhinia purpurea","Tree",4.6,16.49,0.72,1,0,"No",0.278956943602183,0.021356554713085
"1E",224,"LEGUMINOSAE","Bauhinia","aculeata","Bauhinia aculeata","Shrub/tree",4.56,18.08,0.76,1,0,"No",0.252212389380531,0.0256735978199604
"1E",225,"LEGUMINOSAE","Delonix","regia","Delonix regia","Tree",3.29,18.68,0.58,1,0,"No",0.176124197002141,0.0274058720091498
"2A",229,"ANNONACEAE","Monodora","myristica","Monodora myristica","Tree",14.5,95.2085390078012,0.49,3,1,"Yes",0.152297263996582,0.711937194967148
"2A",231,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",23.35,44.88,0.52,1,0,"No",0.520276292335116,0.158196029044869
"2A",232,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",24.28,58.25,0.52,1,0,"No",0.416824034334764,0.266490505579275
"2A",233,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,74.83,0.52,1,0,"No",0.400908726446612,0.439785971395093
