"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","n_caule","multicaule","multicaule_l","rel_hd","area_basal"
"5N",1444,"LEGUMINOSAE","Bauhinia","purpurea","Bauhinia purpurea","Tree",6.68,12.99,0.72,1,0,"No",0.514241724403387,0.0132528164631502
"5N",1445,"LEGUMINOSAE","Delonix","regia","Delonix regia","Tree",8.96,46.79,0.58,1,0,"No",0.191493908954905,0.17194754192585
"6A",1446,"ARECACEAE","Dypsis",NA,"Dypsis NA","Arborescent",26.13,30.88,0.54,1,0,"No",0.846178756476684,0.0748935582422824
"6A",1447,"ARECACEAE","Cocos","nucifera","Cocos nucifera","Arborescent",21.2,31.13,0.54,1,0,"No",0.681015097976229,0.0761111217450893
"6A",1449,"ARECACEAE","Chambeyronia","macrocarpa","Chambeyronia macrocarpa","Arborescent",5.64,17.48,0.54,1,0,"No",0.322654462242563,0.0239978722985356
"6A",1450,"ARECACEAE","Sabal","bermudana","Sabal bermudana","Arborescent",5.44,32.79,0.54,1,0,"No",0.165904239097286,0.0844447617454138
"6A",1452,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",5.65,48.38,0.54,1,0,"No",0.116783794956594,0.183832210496325
"6A",1453,"ARECACEAE","Livistona","australis","Livistona australis","Arborescent",10.15,25.66,0.71,1,0,"No",0.395557287607171,0.0517134110955497
"6A",1454,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.1,69.07,0.52,1,0,"No",0.319965252642247,0.374687145064467
"6A",1455,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",35,73.85,0.52,1,0,"No",0.4739336492891,0.428342217499568
"6A",1456,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",18.19,68.25,0.52,1,0,"No",0.266520146520147,0.365843373249053
"6A",1457,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",35.39,78.94,0.52,1,0,"No",0.448315176083101,0.489422719060785
"6A",1458,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",19.13,67.29,0.52,1,0,"No",0.284291871006093,0.355623898010631
"6A",1459,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",14.4,63.15,0.52,1,0,"No",0.228028503562945,0.313210700727136
"6A",1460,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",18.04,52.33,0.52,1,0,"No",0.34473533346073,0.215075702865449
"6A",1463,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",32,76.9,0.52,1,0,"No",0.416124837451235,0.464453843304878
"6A",1464,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",19.67,65.7,0.52,1,0,"No",0.299391171993912,0.339016331832345
"6A",1466,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",16.3,52.97,0.47,1,0,"No",0.307721351708514,0.220368658168218
"6A",1467,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",18.37,43.29,0.47,1,0,"No",0.424347424347424,0.147185508630256
"6A",1468,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",21.28,51.6,0.47,1,0,"No",0.412403100775194,0.209116973393551
"6A",1469,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",16.8,37.62,0.54,1,0,"No",0.446570972886762,0.111154606048179
"6A",1470,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",20.1,61.43,0.47,1,0,"No",0.327201692983884,0.296381377377415
"6A",1471,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.61,58.12,0.47,1,0,"No",0.337405368203716,0.265302347383706
"6A",1473,"ARECACEAE","Dypsis","lutescens","Dypsis lutescens","Arborescent",7.35,39.4763245502922,0.54,13,1,"Yes",0.186187546174321,0.122394894695495
"6A",1475,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",22.42,72.26,0.74,1,0,"No",0.310268474951564,0.410096247920582
"6A",1476,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",11.4,41.7,0.33,1,0,"No",0.273381294964029,0.136572101235019
"6A",1477,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",9.15,32.56,0.33,1,0,"No",0.281019656019656,0.0832642690359193
"6A",1478,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",20.46,81.23,0.74,1,0,"No",0.251877385202511,0.518230283318169
"6A",1479,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",10.52,34.85,0.33,1,0,"No",0.301865136298422,0.0953883740904877
"6A",1480,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",10.2,43.54,0.33,1,0,"No",0.234267340376665,0.148890411693451
"6A",1481,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",9.5,34.03,0.33,1,0,"No",0.279165442256832,0.0909523195999128
"6A",1482,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",25.54,115.615362301037,0.74,2,1,"Yes",0.220904899588512,1.04983481350953
"6A",1483,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",4.06,10.25,0.29,1,0,"No",0.39609756097561,0.00825158945419444
"6A",1484,"CUPRESSACEAE",NA,NA,"NA NA","Tree",10.65,36.61,0.41,1,0,"No",0.290904124556132,0.105266295375611
"6A",1485,"CUPRESSACEAE","Juniperus",NA,"Juniperus NA","Tree",8.2,31.35,0.48,1,0,"No",0.261562998405104,0.0771906986445689
"6A",1486,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",32.43,61.75,0.52,1,0,"No",0.525182186234818,0.299477228441968
"6A",1487,"ARECACEAE","Attalea","phalerata","Attalea phalerata","Arborescent",2.62,66.21,0.33,1,0,"No",0.0395710617731461,0.344300027290767
"6A",1488,"CUPRESSACEAE","Hesperocyparis","lusitanica","Hesperocyparis lusitanica","Tree",12.27,68.18,0.39,1,0,"No",0.179964799061308,0.365093310149027
"6A",1489,"CUPRESSACEAE","Hesperocyparis","lusitanica","Hesperocyparis lusitanica","Tree",20.5,23.87,0.43,1,0,"No",0.858818600754085,0.0447501730806292
"6A",1491,"PINACEAE","Pinus","canariensis","Pinus canariensis","Tree",14.83,21.49,0.61,1,0,"No",0.690088413215449,0.0362712658360026
"6A",1495,"ARAUCARIACEAE","Araucaria","angustifolia","Araucaria angustifolia","Tree",20.82,43.13,0.46,1,0,"No",0.48272664038952,0.146099522881763
"6A",1496,"PODOCARPACEAE","Nageia","nagi","Nageia nagi","Tree",10.61,33.26,0.46,1,0,"No",0.319001803968731,0.0868829125339567
"6A",1497,"CUPRESSACEAE","Chamaecyparis","lawsoniana","Chamaecyparis lawsoniana","Tree",6.73,28.0720590623488,0.39,2,1,"Yes",0.239740162453081,0.0618925561382807
"6A",1498,"ARAUCARIACEAE","Araucaria","columnaris","Araucaria columnaris","Tree",24.77,63.1884166600177,0.48,2,1,"Yes",0.392002226187654,0.313591893725741
"6A",1501,"ARECACEAE","Livistona",NA,"Livistona NA","Arborescent",13.85,30.33,0.71,1,0,"No",0.456643587207385,0.0722494760552967
"6A",1503,"CUPRESSACEAE","Taxodium","distichum","Taxodium distichum","Tree",15.36,29.6,0.42,1,0,"No",0.518918918918919,0.0688134454842308
"6A",1504,"ARAUCARIACEAE","Agathis","australis","Agathis australis","Tree",21.5,43.8,0.45,1,0,"No",0.490867579908676,0.15067392525882
"6A",1507,"PODOCARPACEAE","Nageia","nagi","Nageia nagi","Tree",6.3,10.82,0.46,1,0,"No",0.582255083179298,0.00919484479445314
"6A",1511,"ARAUCARIACEAE",NA,NA,"NA NA","Tree",10.22,12.22,0.46,1,0,"No",0.83633387888707,0.011728225110308
"6B",1512,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",15.12,32.47,0.33,1,0,"No",0.465660609793656,0.0828045990528277
"6B",1515,"ARECACEAE","Mauritia","flexuosa","Mauritia flexuosa","Arborescent",13.21,48.7,0.54,1,0,"No",0.271252566735113,0.186272097014809
"6B",1517,"LEGUMINOSAE","Peltogyne","discolor","Peltogyne discolor","Tree",6.35,17.41,0.79,1,0,"No",0.364732912119472,0.023806054505089
"6B",1518,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",9.96,39.92,0.33,1,0,"No",0.249498997995992,0.125161553973842
"6B",1519,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",9.17,38.45,0.33,1,0,"No",0.238491547464239,0.11611346082622
"6B",1520,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",22.84,64.62,0.74,1,0,"No",0.353450943980192,0.327962198257718
"6B",1521,"ARECACEAE","Attalea","funifera","Attalea funifera","Arborescent",2.06,23.33,0.33,1,0,"No",0.088298328332619,0.0427483502417617
"6B",1522,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",16.2,57.49,0.74,1,0,"No",0.281788137067316,0.259581954838472
"6B",1523,"LEGUMINOSAE","Hymenaea","courbaril","Hymenaea courbaril","Tree",15,65.89,0.74,1,0,"No",0.227652147518592,0.340979992174453
"6B",1525,"ARECACEAE","Dypsis","lutescens","Dypsis lutescens","Arborescent",6,10.5,0.54,1,0,"No",0.571428571428571,0.00865901475145687
"6B",1528,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.62,68.69,0.47,1,0,"No",0.256514776532246,0.370575679926861
"6B",1529,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",20.84,43.61,0.47,1,0,"No",0.477872047695483,0.149369543843031
"6B",1531,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.12,63.03,0.47,1,0,"No",0.303347612248136,0.312021482244046
"6B",1532,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",16.48,63.66,0.55,1,0,"No",0.258875274897895,0.318290114123258
"6B",1533,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",16.12,64.49,0.55,1,0,"No",0.249961234299892,0.326643962418327
"6B",1534,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",20.34,120,0.55,1,0,"No",0.1695,1.13097335529233
"6B",1535,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",19.77,121.66,0.55,1,0,"No",0.162502054907118,1.16248004243999
"6B",1536,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",11.05,59.0751724500234,0.55,2,1,"Yes",0.18704981368185,0.274094220088483
"6B",1537,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",15.5,151.961069027564,0.55,2,1,"Yes",0.101999808893082,1.81365451579681
"6B",1541,"PHYLLANTHACEAE","Phyllanthus","grandifolius","Phyllanthus grandifolius","Tree",5.07,20.2601307991829,0.61,3,1,"Yes",0.250245176117248,0.0322384661784424
"6B",1542,"SAPOTACEAE","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","Tree",7.35,15.6,0.67,1,0,"No",0.471153846153846,0.0191134497044403
"6B",1545,"PUTRANJIVACEAE","Putranjiva","roxburghii","Putranjiva roxburghii","Tree",4.7,18.3,0.57,1,0,"No",0.256830601092896,0.0263021990940171
"6B",1548,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",13.5,50.48,0.62,1,0,"No",0.26743264659271,0.200137547607354
"6B",1549,"PHYLLANTHACEAE","Phyllanthus","emblica","Phyllanthus emblica","Tree",8.87,12.73,0.66,1,0,"No",0.696779261586803,0.012727605003323
"6B",1551,"EUPHORBIACEAE","Macaranga","mappa","Macaranga mappa","Tree",5.86,21.5246509843946,0.27,2,1,"Yes",0.272245993872259,0.036388329432257
"6B",1553,"LEGUMINOSAE","Vatairea","guianensis","Vatairea guianensis","Tree",23.62,114.066908435356,0.66,4,1,"Yes",0.207071448889016,1.02190193933274
"6B",1557,"MALVACEAE",NA,NA,"NA NA","Tree",15.18,38.96,0.49,1,0,"No",0.389630390143737,0.119214142089478
"6B",1559,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",22.14,77.35,0.47,1,0,"No",0.28623141564318,0.469905488306561
"6B",1561,"PHYLLANTHACEAE","Antidesma","bunius","Antidesma bunius","Tree",2.82,10.31,0.69,1,0,"No",0.273520853540252,0.00834847617163115
"6B",1562,"EUPHORBIACEAE",NA,NA,"NA NA","Tree",22.93,68.98,0.46,1,0,"No",0.33241519280951,0.373711327116354
"6B",1563,"EUPHORBIACEAE","Hura","crepitans","Hura crepitans","Tree",19,74.17,0.37,1,0,"No",0.25616826210058,0.432062365856243
"6B",1565,"ARECACEAE","Oenocarpus","distichus","Oenocarpus distichus","Arborescent",15,24.45,0.68,1,0,"No",0.613496932515337,0.0469512985574403
"6B",1567,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",18,53.6,0.47,1,0,"No",0.335820895522388,0.225641750751433
"6B",1570,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.64,51.38,0.47,1,0,"No",0.38224990268587,0.207337606730484
"6C",1574,"ARECACEAE","Dypsis","lutescens","Dypsis lutescens","Arborescent",6.15,30.9277690757028,0.54,8,1,"Yes",0.198850424191492,0.0751254470500255
"6C",1577,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",13.92,46.15,0.47,1,0,"No",0.301625135427952,0.167275867986256
"6C",1578,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.85,56.66,0.47,1,0,"No",0.350335333568655,0.252140739209271
"6C",1580,"ARECACEAE","Attalea","maripa","Attalea maripa","Arborescent",17.95,35.65,0.33,1,0,"No",0.503506311360449,0.0998180197320493
"6C",1581,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.04,69.07,0.47,1,0,"No",0.275662371507167,0.374687145064467
"6C",1591,"MYRTACEAE","Syzygium","cumini","Syzygium cumini","Tree",10.16,45.52,0.78,1,0,"No",0.223198594024605,0.162740028659022
"6C",1592,"MYRTACEAE","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.73,29.03,0.65,1,0,"No",0.404064760592491,0.0661887155079913
"6C",1593,"SAPINDACEAE","Dimocarpus","longan","Dimocarpus longan","Tree",3.34,54.75,0.7,1,0,"No",0.0610045662100457,0.235428008216906
"6C",1594,"MYRTACEAE","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.25,23.24,0.65,1,0,"No",0.48407917383821,0.042419166309537
"6C",1595,"PROTEACEAE","Macadamia","ternifolia","Macadamia ternifolia","Tree",4.49,14.01,0.9,1,0,"No",0.320485367594575,0.0154158030051467
"6C",1596,"PROTEACEAE","Macadamia","ternifolia","Macadamia ternifolia","Tree",5.13,14.01,0.9,1,0,"No",0.366167023554604,0.0154158030051467
"6C",1597,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",18.24,102.5,0.47,1,0,"No",0.177951219512195,0.825158945419444
"6C",1598,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",18.85,73.53,0.47,1,0,"No",0.256357949136407,0.42463815409728
"6C",1599,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.62,29.44,0.47,1,0,"No",0.598505434782609,0.0680715269631591
"6C",1600,"EUPHORBIACEAE","Aleurites","moluccanus","Aleurites moluccanus","Tree",18.67,46.47,0.38,1,0,"No",0.401764579298472,0.16960366247886
"6C",1602,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.29,72.57,0.47,1,0,"No",0.238252721510266,0.413622473616732
"6C",1603,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",13.04,61.43,0.47,1,0,"No",0.212274133159694,0.296381377377415
"6C",1604,"ARECACEAE","Syagrus","schizophylla","Syagrus schizophylla","Arborescent",6.7,11.46,0.54,1,0,"No",0.584642233856894,0.0103147597436048
"6C",1606,"EUPHORBIACEAE","Manihot","carthagenensis","Manihot carthagenensis","Tree",6.99,13.05,0.33,1,0,"No",0.535632183908046,0.0133755270721994
"6C",1607,"ARECACEAE","Syagrus","schizophylla","Syagrus schizophylla","Arborescent",4.82,10.66,0.54,1,0,"No",0.452157598499062,0.00892491915365671
"6C",1608,"LEGUMINOSAE","Brownea","grandiceps","Brownea grandiceps","Tree",5.93,26.7182278603952,1.21,4,1,"Yes",0.221945857748676,0.0560667238896107
"6C",1609,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",21.25,44.24,0.54,1,0,"No",0.480334538878843,0.153716369248263
"6C",1611,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",14.81,36.29,0.33,1,0,"No",0.408101405345825,0.103434118540037
"6C",1612,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",12.12,36.76,0.33,1,0,"No",0.329706202393906,0.106130665324338
"6C",1613,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",10.78,41.06,0.33,1,0,"No",0.262542620555285,0.132412129906841
"6C",1614,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",13.96,39.63,0.33,1,0,"No",0.352258390108504,0.123349679680792
"6C",1615,"PHYLLANTHACEAE","Bridelia","tomentosa","Bridelia tomentosa","Tree",9.15,34.06,0.61,1,0,"No",0.268643570170288,0.09111275288275
"6C",1616,"LEGUMINOSAE",NA,NA,"NA NA","Tree",14.64,44.24,0.72,1,0,"No",0.330922242314647,0.153716369248263
"6C",1618,"EUPHORBIACEAE","Manihot","carthagenensis","Manihot carthagenensis","Tree",14.34,14.01,0.33,1,0,"No",1.02355460385439,0.0154158030051467
"6C",1619,"PHYLLANTHACEAE","Antidesma","bunius","Antidesma bunius","Tree",12.44,68.12,0.69,1,0,"No",0.182618907809747,0.364451011531
"6C",1620,"MYRTACEAE","Eugenia","florida","Eugenia florida","Tree",14.84,36.92,0.87,1,0,"No",0.401950162513543,0.107056555511204
"6C",1622,"EUPHORBIACEAE","Melanolepis","multiglandulosa","Melanolepis multiglandulosa","Tree",9.59,20.37,0.34,1,0,"No",0.470790378006873,0.0325890679185831
"6C",1623,"APOCYNACEAE",NA,NA,"NA NA","Tree",8.49,28.78,0.65,1,0,"No",0.294996525364837,0.0650536188123411
"6C",1624,"EUPHORBIACEAE","Hura","crepitans","Hura crepitans","Tree",26.1,88.49,0.37,1,0,"No",0.294948581760651,0.615004468906027
"6D",1625,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",36,79.58,0.52,1,0,"No",0.452374968585072,0.497390803339938
"6D",1626,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.44,68.95,0.52,1,0,"No",0.368963016678753,0.373386337210322
"6D",1627,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",36,78.94,0.52,1,0,"No",0.456042563972637,0.489422719060785
"6D",1628,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",23.86,64.62,0.52,1,0,"No",0.369235530795419,0.327962198257718
"6D",1629,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",36.11,80.85,0.52,1,0,"No",0.446629560915275,0.513392984613878
"6D",1630,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",14.38,42.97,0.52,1,0,"No",0.334652082848499,0.145017558371866
"6D",1632,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",9.34,48.38,0.52,1,0,"No",0.193054981397272,0.183832210496325
"6D",1633,"CHRYSOBALANACEAE","Moquilea","tomentosa","Moquilea tomentosa","Tree",16.48,90.21,0.98,1,0,"No",0.182684846469349,0.639144781015476
"6D",1634,"SAPINDACEAE","Dimocarpus","longan","Dimocarpus longan","Tree",6.62,37.75,0.7,1,0,"No",0.175364238410596,0.111924147022658
"6D",1635,"MYRTACEAE","Syzygium","aromaticum","Syzygium aromaticum","Tree",10.89,32.63,0.65,1,0,"No",0.333741955255899,0.0836226697798225
"6D",1636,"MYRTACEAE","Syzygium","aromaticum","Syzygium aromaticum","Tree",9.36,17.35,0.65,1,0,"No",0.539481268011527,0.0236422518641308
"6D",1637,"MYRTACEAE","Syzygium","aromaticum","Syzygium aromaticum","Tree",11.66,25.78,0.65,1,0,"No",0.452288595810706,0.0521982216738517
"6D",1638,"SAPINDACEAE","Dimocarpus","longan","Dimocarpus longan","Tree",4.4,41.44,0.7,1,0,"No",0.106177606177606,0.134874353149092
"6D",1639,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",12.12,41.06,0.33,1,0,"No",0.295177788602046,0.132412129906841
"6D",1640,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",11.39,38.99,0.33,1,0,"No",0.29212618620159,0.119397807449989
"6D",1641,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",11.16,40.27,0.33,1,0,"No",0.277129376707226,0.127365891729141
"6D",1642,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",12.31,42.02,0.33,1,0,"No",0.292955735364112,0.138676214330687
"6D",1643,"LEGUMINOSAE","Brownea","grandiceps","Brownea grandiceps","Tree",5.75,16.7403763398557,1.21,2,1,"Yes",0.343480927983102,0.0220100138390134
"6D",1645,"ARECACEAE","Dypsis","lutescens","Dypsis lutescens","Arborescent",6.78,29.5219697852294,0.54,7,1,"Yes",0.229659472227771,0.0684511177495107
"6D",1647,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",14.85,48.38,0.47,1,0,"No",0.306945018602728,0.183832210496325
"6D",1648,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",18.64,93.77,0.47,1,0,"No",0.198784259358004,0.690585910275739
"6D",1649,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.61,41.54,0.47,1,0,"No",0.423928743379875,0.13552607654508
"6D",1650,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",19.27,60.48,0.47,1,0,"No",0.318617724867725,0.287285327817935
"6D",1651,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",12.09,50.99,0.47,1,0,"No",0.237105314767601,0.204201959540991
"6D",1652,"PODOCARPACEAE","Podocarpus","sellowii","Podocarpus sellowii","Tree",5.91,32.63,0.48,1,0,"No",0.181121667177444,0.0836226697798225
"6D",1656,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",4.75,10.6,0.29,1,0,"No",0.44811320754717,0.00882473376393373
"6D",1658,"RUTACEAE","Citrus","x","Citrus x","Tree",7.05,28.9360156206759,0.74,2,1,"Yes",0.243641007539494,0.065760838442554
"6D",1660,"PODOCARPACEAE","Podocarpus","sellowii","Podocarpus sellowii","Tree",8.01,22.7,0.48,1,0,"No",0.352863436123348,0.0404707819617071
"6D",1662,"PINACEAE",NA,NA,"NA NA","Tree",16.7,49.34,0.52,1,0,"No",0.338467774625051,0.191200124914937
"6D",1663,"CUPRESSACEAE",NA,NA,"NA NA","Tree",13.54,60.92,0.41,1,0,"No",0.22225869993434,0.291480610647539
"6D",1664,"LEGUMINOSAE","Dalbergia","assamica","Dalbergia assamica","Tree",16.09,46.3945708030584,0.79,3,1,"Yes",0.346807820861214,0.169053514627345
"6D",1666,"PODOCARPACEAE","Podocarpus","lambertii","Podocarpus lambertii","Tree",12.85,54.81,0.45,1,0,"No",0.234446268929028,0.235944297553597
"6D",1667,"LEGUMINOSAE","Brownea","grandiceps","Brownea grandiceps","Tree",6.67,22.9513507227788,1.21,2,1,"Yes",0.290614704143758,0.0413719870842975
"6D",1669,"LEGUMINOSAE","Brownea","grandiceps","Brownea grandiceps","Tree",7.39,47.3175781290632,1.21,7,1,"Yes",0.156178745662829,0.175846973121284
"6D",1670,"PINACEAE","Pinus",NA,"Pinus NA","Tree",16.64,39.47,0.44,1,0,"No",0.421586014694705,0.122355679765196
"6D",1671,"PINACEAE",NA,NA,"NA NA","Tree",18.16,40.74,0.52,1,0,"No",0.445753559155621,0.130356271674332
"6D",1672,"PINACEAE",NA,NA,"NA NA","Tree",21.44,46.54,0.52,1,0,"No",0.460678985818651,0.170115011661103
"6D",1675,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",7.75,27.2905844569148,0.29,2,1,"Yes",0.283980726474926,0.0584945702542498
"6D",1677,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",4.6,17.7571760142203,0.29,2,1,"Yes",0.259050200117194,0.0247649628307442
"6D",1678,"ARECACEAE","Acrocomia","aculeata","Acrocomia aculeata","Arborescent",19.84,24.29,0.54,1,0,"No",0.816797035817209,0.0463388136536964
"6D",1679,"PINACEAE",NA,NA,"NA NA","Tree",18.43,36.86,0.52,1,0,"No",0.5,0.106708875452231
"6D",1680,"CUPRESSACEAE",NA,NA,"NA NA","Tree",7.9,13.5,0.41,1,0,"No",0.585185185185185,0.0143138815279185
"6D",1681,"PODOCARPACEAE","Podocarpus","sellowii","Podocarpus sellowii","Tree",7.95,29.44,0.48,1,0,"No",0.270040760869565,0.0680715269631591
"6D",1682,"PODOCARPACEAE","Podocarpus","sellowii","Podocarpus sellowii","Tree",6.84,27.06,0.48,1,0,"No",0.252771618625277,0.0575102778599536
"6D",1683,"ARAUCARIACEAE","Araucaria","columnaris","Araucaria columnaris","Tree",5.5,81.9,0.48,1,0,"No",0.0671550671550672,0.526814457478636
"6D",1685,"ARECACEAE","Phytelephas","macrocarpa","Phytelephas macrocarpa","Arborescent",5.03,13.53,0.54,1,0,"No",0.371766444937177,0.0143775694649884
"6D",1686,"PODOCARPACEAE","Podocarpus","lambertii","Podocarpus lambertii","Tree",14.14,55.7,0.45,1,0,"No",0.253859964093357,0.243668994795895
"6D",1687,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",6.81,13.37,0.29,1,0,"No",0.509349289454001,0.0140395340954621
"6D",1688,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",5.56,10.76,0.29,1,0,"No",0.516728624535316,0.00909315144025644
"6D",1689,"CUPRESSACEAE","Thuja","occidentalis","Thuja occidentalis","Shrub/tree",7.65,16.82,0.29,1,0,"No",0.454815695600476,0.0222198879362364
"6D",1691,"CUPRESSACEAE","Thuja",NA,"Thuja NA","Tree",5.8,10.66,0.37,1,0,"No",0.544090056285178,0.00892491915365671
"6D",1693,"CUPRESSACEAE","Thuja",NA,"Thuja NA","Tree",4.6,14.83,0.37,1,0,"No",0.31018206338503,0.0172731754138021
"6D",1694,"PINACEAE","Pinus","caribaea","Pinus caribaea","Tree",22.45,60.29,0.51,1,0,"No",0.372366893348814,0.285483129630259
"6D",1695,"PINACEAE","Pinus","caribaea","Pinus caribaea","Tree",23.81,62.71,0.51,1,0,"No",0.379684260883432,0.308861291361947
"7A",1696,"ARECACEAE","Archontophoenix","alexandrae","Archontophoenix alexandrae","Arborescent",13.52,31.51,0.83,1,0,"No",0.429070136464614,0.0779806207013875
"7A",1715,"SAPOTACEAE","Sideroxylon","rotundifolium","Sideroxylon rotundifolium","Tree",8.12,19.67,0.8,1,0,"No",0.412811387900356,0.0303877539462127
"7A",1718,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",13.05,96.77,0.55,1,0,"No",0.134855843753229,0.735480840091864
"7A",1719,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",13.69,116.63,0.55,1,0,"No",0.117379747920775,1.06834232067693
"7A",1720,"ANACARDIACEAE","Mangifera","indica","Mangifera indica","Tree",17.24,103.77,0.55,1,0,"No",0.166136648356943,0.845733463473271
